1234567890,c0000001,RMIT,2025-01-01
2345678901,c0000002,RMIT,2025-01-02
3456789012,c0000003,RMIT,2025-01-03
4567890123,c0000004,RMIT,2025-01-04
5678901234,c0000005,RMIT,2025-01-05
6789012345,c0000006,RMIT,2025-01-06
7890123456,c0000007,RMIT,2025-01-07
8901234567,c0000008,RMIT,2025-01-08
9012345678,c0000009,RMIT,2025-01-09
0123456789,c0000010,RMIT,2025-01-10
1123456780,c0000011,RMIT,2025-01-11
2123456789,c0000012,RMIT,2025-01-12
3123456780,c0000013,RMIT,2025-01-13
4123456789,c0000014,RMIT,2025-01-14
5123456780,c0000015,RMIT,2025-01-15
6123456789,c0000016,RMIT,2025-01-01
7123456780,c0000017,RMIT,2025-01-02
8123456789,c0000018,RMIT,2025-01-03
9123456780,c0000019,RMIT,2025-01-04
0223456789,c0000020,RMIT,2025-01-05
1223456780,c0000021,RMIT,2025-01-06
2223456789,c0000022,RMIT,2025-01-07
3223456780,c0000023,RMIT,2025-01-08
4223456789,c0000024,RMIT,2025-01-09
5223456780,c0000025,RMIT,2025-01-10
